N,P,K,temperature,humidity,ph,rainfall,season,label
90,42,43,20.8,82,6.5,202.9,Kharif,rice
88,40,41,22.0,80,6.8,210.0,Kharif,rice
85,38,39,21.5,78,6.7,190.0,Kharif,rice
92,45,44,23.0,85,6.6,220.0,Kharif,rice

60,55,44,23.0,78,6.8,180.0,Rabi,maize
58,52,42,24.5,75,6.9,170.0,Rabi,maize
62,57,45,22.5,80,6.7,185.0,Rabi,maize
65,54,46,25.0,76,7.0,160.0,Rabi,maize

35,40,35,25.0,65,6.3,120.0,Summer,cotton
38,42,36,26.5,68,6.7,130.0,Summer,cotton
33,38,34,24.5,63,6.2,115.0,Summer,cotton
40,45,37,27.0,70,6.8,135.0,Summer,cotton

20,30,25,24.0,60,6.0,100.0,Rabi,groundnut
22,32,28,23.5,62,6.2,110.0,Rabi,groundnut
18,28,24,22.5,58,5.9,95.0,Rabi,groundnut
25,35,30,25.0,65,6.3,120.0,Rabi,groundnut

